Approach,Generation,Replication,Proportion of Desirable Alleles,Phenotypic Value,Inbreeding
GEBV Selection,4,6,0.775225,32.9193728,-
GEBV Selection,0,7,0.4997025,18.07332794,0.0309894352124393
GEBV Selection,1,7,0.638765,28.50438654,0.11158853923728952
GEBV Selection,2,7,0.722525,29.4910018,0.5609291979056528
GEBV Selection,3,7,0.776675,33.3877922,1.0678657231375865
GEBV Selection,4,7,0.7985249999999999,31.900763,-
GEBV Selection,0,8,0.49991,18.22965039,-0.003013028670099579
GEBV Selection,1,8,0.6389050000000001,23.5664972,0.2249777940303613
GEBV Selection,2,8,0.7427875,28.7097642,0.8807317673048044
GEBV Selection,3,8,0.795125,32.6991596,1.155739199338002
GEBV Selection,4,8,0.793975,32.2568384,-
GEBV Selection,0,9,0.4998675,18.7915657,0.0013170896810896803
GEBV Selection,1,9,0.6689350000000001,26.98027244,0.1262124257708824
GEBV Selection,2,9,0.7589,29.7104916,0.6096148142214136
GEBV Selection,3,9,0.84215,32.0951678,0.9579583777537873
GEBV Selection,4,9,0.871075,35.300166,-
GEBV Selection,0,10,0.49906375000000003,20.72965929,-0.005588028693373072
GEBV Selection,1,10,0.6174625,28.67911392,0.16676316852507006
GEBV Selection,2,10,0.719075,27.8462758,0.33575739351392586
GEBV Selection,3,10,0.794925,31.2699828,0.9113311859217346
GEBV Selection,4,10,0.7736,33.3075648,-
GEBV Selection,0,11,0.50059375,19.04581631,0.017922432629748936
GEBV Selection,1,11,0.7002725,27.15345178,0.31006493078563446
GEBV Selection,2,11,0.784075,29.3485197,0.7366255383695668
GEBV Selection,3,11,0.843525,32.4337694,1.1703496012254695
GEBV Selection,4,11,0.83795,33.2984562,-
GEBV Selection,0,12,0.4992875,19.69105022,0.019995210190777553
GEBV Selection,1,12,0.644575,25.37065562,0.2948155997021164
GEBV Selection,2,12,0.7254125,28.7557337,0.6433630136450195
GEBV Selection,3,12,0.8006249999999999,32.9904586,1.3457063690101116
GEBV Selection,4,12,0.78965,32.16006,-
GEBV Selection,0,13,0.49952375,19.21818025,0.005573927703748356
GEBV Selection,1,13,0.6576774999999999,26.33815606,0.08340217618870616
GEBV Selection,2,13,0.7512875,28.7259693,0.7017415287561483
GEBV Selection,3,13,0.821375,33.1945552,0.9930244428215198
GEBV Selection,4,13,0.8414999999999999,30.941401,-
GEBV Selection,0,14,0.50112875,19.79915332,0.02282641604095568
GEBV Selection,1,14,0.649885,25.75181078,0.1266383854627806
GEBV Selection,2,14,0.741425,31.1075674,0.9876360651666237
GEBV Selection,3,14,0.785025,32.4851968,1.623563241783873
GEBV Selection,4,14,0.788375,36.620601,-
GEBV Selection,0,15,0.49877125,19.95819558,0.005342158053282885
GEBV Selection,1,15,0.663405,24.5776082,0.31577960830905893
GEBV Selection,2,15,0.7623875,28.7535793,0.6564230325124327
GEBV Selection,3,15,0.7618,30.9176854,0.8827615984127172
GEBV Selection,4,15,0.796775,31.5873144,-
GEBV Selection,0,16,0.50021,19.41257732,0.013870413123417673
GEBV Selection,1,16,0.649105,27.46812942,0.11311903007924802
GEBV Selection,2,16,0.7511625000000001,29.9188739,0.6412617882039257
GEBV Selection,3,16,0.772625,33.6069188,1.2030088533769565
GEBV Selection,4,16,0.8181499999999999,34.3411964,-
GEBV Selection,0,17,0.49960125,19.5523797,-0.009199169172417048
GEBV Selection,1,17,0.6607000000000001,25.1474512,0.12101478009645006
GEBV Selection,2,17,0.7340875,29.6323342,0.5705268252284184
GEBV Selection,3,17,0.7519750000000001,32.9356378,0.9775366533064466
GEBV Selection,4,17,0.7883,32.8310238,-
GEBV Selection,0,18,0.5001475,22.87737161,0.020638435148856545
GEBV Selection,1,18,0.6244125,24.01035432,0.07048932496832966
GEBV Selection,2,18,0.71055,30.0324469,0.6747795037914284
GEBV Selection,3,18,0.7246,31.3538772,0.9202107449483319
GEBV Selection,4,18,0.7454,33.6036846,-
GEBV Selection,0,19,0.50144,19.52799673,0.012948076375468758
GEBV Selection,1,19,0.66087,26.72977468,0.1821304773205188
GEBV Selection,2,19,0.7656875000000001,31.9616328,0.644786985646984
GEBV Selection,3,19,0.8054,32.0666172,0.9874337851427272
GEBV Selection,4,19,0.8291000000000001,33.1172904,-
GEBV Selection,0,20,0.5001212500000001,19.65468395,-0.01339422580236987
GEBV Selection,1,20,0.6483925,26.03791136,0.27818062244009556
GEBV Selection,2,20,0.7527250000000001,31.1068881,1.0188952765388108
GEBV Selection,3,20,0.789825,31.3177424,1.306297533969267
GEBV Selection,4,20,0.8172750000000001,34.5509002,-
GEBV Selection,0,21,0.49943125000000005,19.75649229,-0.023937344996314325
GEBV Selection,1,21,0.647635,26.80979652,0.015313444469805784
GEBV Selection,2,21,0.7137749999999999,27.2451707,0.4319824847806359
GEBV Selection,3,21,0.758475,32.442392,0.8036466414370923
GEBV Selection,4,21,0.7712,31.0964254,-
GEBV Selection,0,22,0.49983500000000003,19.87635749,-0.0019032218666020803
GEBV Selection,1,22,0.6642925,26.04290812,0.25291326902374767
GEBV Selection,2,22,0.7901125,31.9316248,0.8000395923382768
GEBV Selection,3,22,0.7708999999999999,32.6041244,1.3169332081448248
GEBV Selection,4,22,0.80175,33.0760988,-
GEBV Selection,0,23,0.50031875,20.53985854,-0.0034441131399033827
GEBV Selection,1,23,0.65212,27.06959872,0.30661436623228894
GEBV Selection,2,23,0.7496125,29.5467821,0.5584542823880232
GEBV Selection,3,23,0.7774,33.4198308,0.8324993027161415
GEBV Selection,4,23,0.81335,32.612162,-
GEBV Selection,0,24,0.50083,19.53926274,-0.011753939983681409
GEBV Selection,1,24,0.6767825000000001,25.24984662,0.19609415284887213
GEBV Selection,2,24,0.7746999999999999,28.312621,0.7509477894771942
GEBV Selection,3,24,0.8201499999999999,31.840542,0.9663773355555308
GEBV Selection,4,24,0.8416499999999999,29.0093098,-
GEBV Selection,0,25,0.5001075,19.69197303,0.005778652846218637
GEBV Selection,1,25,0.6854625000000001,25.26455892,0.3099337353213544
GEBV Selection,2,25,0.7820125,32.3608011,0.9568130404486623
GEBV Selection,3,25,0.8626250000000001,32.602266,1.285533031168604
GEBV Selection,4,25,0.901825,34.1479442,-
GEBV Selection,0,26,0.49930250000000004,20.42968172,0.014597722320018913
